kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 157 : 106448 1180841 0 0 0 0 0 0 0 
_1.ptx 158 : 106448 765584 0 0 0 0 0 0 0 
_1.ptx 159 : 106448 1124175 0 0 0 0 0 0 0 
_1.ptx 160 : 106448 1179042 0 0 0 0 0 0 0 
_1.ptx 161 : 106448 29641860 396032 0 0 6921 3663 0 0 
_1.ptx 162 : 106448 767528 0 0 0 0 0 0 0 
_1.ptx 163 : 106448 1121184 0 0 0 0 0 0 0 
_1.ptx 164 : 106448 1184677 0 0 0 0 0 0 0 
_1.ptx 165 : 106448 888784 0 3663 3663 0 0 0 0 
_1.ptx 166 : 106448 1176166 0 0 0 0 0 0 0 
_1.ptx 167 : 106448 863194 0 3663 3663 0 0 0 0 
_1.ptx 168 : 106448 758575 0 0 0 0 0 0 0 
_1.ptx 169 : 106448 1130319 0 0 0 0 0 0 0 
_1.ptx 170 : 106448 1179674 0 0 0 0 0 0 0 
_1.ptx 171 : 106448 870313 0 3663 3663 0 0 0 0 
_1.ptx 172 : 106448 2134115 0 0 0 0 0 0 0 
_1.ptx 173 : 106448 2131815 0 0 0 0 0 0 0 
_1.ptx 174 : 106448 1171645 0 0 0 0 0 0 0 
_1.ptx 175 : 106448 1173139 0 0 0 0 0 0 0 
_1.ptx 176 : 106448 532974 0 3663 3663 0 0 0 0 
_1.ptx 179 : 126720 761568 0 0 0 0 0 0 0 
_1.ptx 181 : 126720 1013760 0 0 0 0 0 0 0 
_1.ptx 182 : 126720 38400 0 0 0 0 0 0 0 
_1.ptx 183 : 120320 721920 0 0 0 0 0 0 0 
_1.ptx 184 : 120320 962752 0 0 0 0 0 0 0 
_1.ptx 185 : 120320 843520 0 0 0 0 0 0 0 
_1.ptx 186 : 120320 881632 0 0 0 0 0 0 0 
_1.ptx 187 : 120320 125976 0 0 0 0 0 0 940 
_1.ptx 189 : 101448 730238 0 0 0 0 0 0 0 
_1.ptx 190 : 101448 1315266 0 0 0 0 0 0 0 
_1.ptx 191 : 101448 1121103 0 0 0 0 0 0 0 
_1.ptx 192 : 101448 848504 0 3478 3478 0 0 0 0 
_1.ptx 193 : 101448 1116709 0 0 0 0 0 0 0 
_1.ptx 194 : 101448 509172 0 3478 3478 0 0 0 0 
_1.ptx 197 : 120320 723744 0 0 0 0 0 0 0 
