kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 157 : 106448 1177637 0 0 0 0 0 0 0 
_1.ptx 158 : 106448 763090 0 0 0 0 0 0 0 
_1.ptx 159 : 106448 1124480 0 0 0 0 0 0 0 
_1.ptx 160 : 106448 1181131 0 0 0 0 0 0 0 
_1.ptx 161 : 106448 29524131 396032 0 0 6921 3663 0 0 
_1.ptx 162 : 106448 769298 0 0 0 0 0 0 0 
_1.ptx 163 : 106448 1122134 0 0 0 0 0 0 0 
_1.ptx 164 : 106448 1190722 0 0 0 0 0 0 0 
_1.ptx 165 : 106448 886128 0 3663 3663 0 0 0 0 
_1.ptx 166 : 106448 1178171 0 0 0 0 0 0 0 
_1.ptx 167 : 106448 871519 0 3663 3663 0 0 0 0 
_1.ptx 168 : 106448 760239 0 0 0 0 0 0 0 
_1.ptx 169 : 106448 1115186 0 0 0 0 0 0 0 
_1.ptx 170 : 106448 1180061 0 0 0 0 0 0 0 
_1.ptx 171 : 106448 871839 0 3663 3663 0 0 0 0 
_1.ptx 172 : 106448 2134918 0 0 0 0 0 0 0 
_1.ptx 173 : 106448 2132288 0 0 0 0 0 0 0 
_1.ptx 174 : 106448 1172859 0 0 0 0 0 0 0 
_1.ptx 175 : 106448 1174197 0 0 0 0 0 0 0 
_1.ptx 176 : 106448 535663 0 3663 3663 0 0 0 0 
_1.ptx 179 : 126720 763680 0 0 0 0 0 0 0 
_1.ptx 181 : 126720 1014016 0 0 0 0 0 0 0 
_1.ptx 182 : 126720 38400 0 0 0 0 0 0 0 
_1.ptx 183 : 120320 722432 0 0 0 0 0 0 0 
_1.ptx 184 : 120320 966048 0 0 0 0 0 0 0 
_1.ptx 185 : 120320 863264 0 0 0 0 0 0 0 
_1.ptx 186 : 120320 896832 0 0 0 0 0 0 0 
_1.ptx 187 : 120320 126210 0 0 0 0 0 0 940 
_1.ptx 189 : 101448 750377 0 0 0 0 0 0 0 
_1.ptx 190 : 101448 1262495 0 0 0 0 0 0 0 
_1.ptx 191 : 101448 1126395 0 0 0 0 0 0 0 
_1.ptx 192 : 101448 853743 0 3478 3478 0 0 0 0 
_1.ptx 193 : 101448 1121104 0 0 0 0 0 0 0 
_1.ptx 194 : 101448 520446 0 3478 3478 0 0 0 0 
_1.ptx 197 : 120320 723968 0 0 0 0 0 0 0 
