kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 157 : 106448 1181427 0 0 0 0 0 0 0 
_1.ptx 158 : 106448 778107 0 0 0 0 0 0 0 
_1.ptx 159 : 106448 1121168 0 0 0 0 0 0 0 
_1.ptx 160 : 106448 1201478 0 0 0 0 0 0 0 
_1.ptx 161 : 106448 29249039 396032 0 0 6921 3663 0 0 
_1.ptx 162 : 106448 774877 0 0 0 0 0 0 0 
_1.ptx 163 : 106448 1117340 0 0 0 0 0 0 0 
_1.ptx 164 : 106448 1204115 0 0 0 0 0 0 0 
_1.ptx 165 : 106448 917307 0 3663 3663 0 0 0 0 
_1.ptx 166 : 106448 1175366 0 0 0 0 0 0 0 
_1.ptx 167 : 106448 880172 0 3663 3663 0 0 0 0 
_1.ptx 168 : 106448 763751 0 0 0 0 0 0 0 
_1.ptx 169 : 106448 1097236 0 0 0 0 0 0 0 
_1.ptx 170 : 106448 1179069 0 0 0 0 0 0 0 
_1.ptx 171 : 106448 869869 0 3663 3663 0 0 0 0 
_1.ptx 172 : 106448 2141287 0 0 0 0 0 0 0 
_1.ptx 173 : 106448 2134402 0 0 0 0 0 0 0 
_1.ptx 174 : 106448 1171732 0 0 0 0 0 0 0 
_1.ptx 175 : 106448 1172835 0 0 0 0 0 0 0 
_1.ptx 176 : 106448 533487 0 3663 3663 0 0 0 0 
_1.ptx 179 : 126720 761312 0 0 0 0 0 0 0 
_1.ptx 181 : 126720 1013760 0 0 0 0 0 0 0 
_1.ptx 182 : 126720 38400 0 0 0 0 0 0 0 
_1.ptx 183 : 120320 721920 0 0 0 0 0 0 0 
_1.ptx 184 : 120320 964224 0 0 0 0 0 0 0 
_1.ptx 185 : 120320 869952 0 0 0 0 0 0 0 
_1.ptx 186 : 120320 877504 0 0 0 0 0 0 0 
_1.ptx 187 : 120320 122597 0 0 0 0 0 0 940 
_1.ptx 189 : 101448 758008 0 0 0 0 0 0 0 
_1.ptx 190 : 101448 1229508 0 0 0 0 0 0 0 
_1.ptx 191 : 101448 1136436 0 0 0 0 0 0 0 
_1.ptx 192 : 101448 836417 0 3478 3478 0 0 0 0 
_1.ptx 193 : 101448 1121794 0 0 0 0 0 0 0 
_1.ptx 194 : 101448 528114 0 3478 3478 0 0 0 0 
_1.ptx 197 : 120320 724320 0 0 0 0 0 0 0 
